,案號,酒駕前案紀錄
411,"PTDM,108,交簡,22,20190131,1",0
412,"PTDM,108,交簡,234,20190131,1",1
413,"PTDM,108,交簡,246,20190131,1",1
414,"PTDM,108,交簡,27,20190114,1",1
415,"PTDM,108,交簡,30,20190115,1",1
416,"PTDM,108,交簡,32,20190115,1",1
417,"PTDM,108,交簡,33,20190116,1",1
418,"PTDM,108,交簡,34,20190122,1",1
419,"PTDM,108,交簡,35,20190117,1",1
420,"PTDM,108,交簡,37,20190107,1",0
421,"PTDM,108,交簡,4,20190108,1",1
422,"PTDM,108,交簡,41,20190121,1",1
423,"PTDM,108,交簡,45,20190115,1",2
424,"PTDM,108,交簡,50,20190114,1",0
425,"PTDM,108,交簡,53,20190124,1",1
426,"PTDM,108,交簡,58,20190131,1",0
427,"PTDM,108,交簡,59,20190115,1",1
428,"PTDM,108,交簡,6,20190111,1",1
429,"PTDM,108,交簡,60,20190121,1",1
430,"PTDM,108,交簡,61,20190111,1",1
431,"PTDM,108,交簡,63,20190110,1",3
432,"PTDM,108,交簡,67,20190125,1",1
433,"PTDM,108,交簡,8,20190115,1",1
434,"PTDM,108,交簡,80,20190122,1",0
435,"PTDM,108,交簡,9,20190115,1",1
436,"SCDM,107,竹交簡,922,20190102,1",2
437,"SCDM,107,竹交簡,977,20190130,1",1
438,"SCDM,107,竹交簡,988,20190103,1",0
439,"SCDM,107,竹交簡,993,20190131,1",6
440,"SCDM,108,竹交簡,11,20190130,1",3
441,"SCDM,108,竹交簡,19,20190119,1",1
442,"SCDM,108,竹交簡,32,20190130,1",1
443,"SCDM,108,竹交簡,53,20190119,1",1
444,"SCDM,108,竹交簡,62,20190130,1",1
445,"SCDM,108,竹交簡,70,20190131,1",2
446,"SLEM,108,士交簡,11,20190111,1",0
447,"SLEM,108,士交簡,15,20190111,1",2
448,"SLEM,108,士交簡,20,20190111,1",0
449,"SLEM,108,士交簡,23,20190111,1",2
450,"SLEM,108,士交簡,27,20190111,1",1
451,"SLEM,108,士交簡,29,20190111,1",0
452,"SLEM,108,士交簡,39,20190111,1",3
453,"SLEM,108,士交簡,42,20190118,1",0
454,"SLEM,108,士交簡,45,20190118,1",0
455,"SLEM,108,士交簡,54,20190118,1",2
456,"SLEM,108,士交簡,56,20190118,1",0
457,"SLEM,108,士交簡,62,20190125,1",3
458,"SLEM,108,士交簡,69,20190129,1",2
459,"SLEM,108,士交簡,7,20190111,1",1
460,"SLEM,108,士交簡,70,20190129,1",0
461,"SLEM,108,士交簡,75,20190129,1",0
462,"SLEM,108,士交簡,8,20190111,1",2
463,"TCDM,107,中交簡,3118,20190115,1",1
464,"TCDM,107,中交簡,3751,20190114,1",1
465,"TCDM,107,中交簡,3772,20190110,1",3
466,"TCDM,107,中交簡,3795,20190111,1",1
467,"TCDM,107,中交簡,3797,20190108,1",0
468,"TCDM,107,中交簡,3798,20190121,1",0
469,"TCDM,107,交簡,718,20190108,1",1
470,"TCDM,108,中交簡,100,20190117,1",1
471,"TCDM,108,中交簡,121,20190118,1",0
472,"TCDM,108,中交簡,13,20190115,1",1
473,"TCDM,108,中交簡,145,20190121,1",0
474,"TCDM,108,中交簡,147,20190130,1",0
475,"TCDM,108,中交簡,149,20190124,1",3
476,"TCDM,108,中交簡,15,20190108,1",1
477,"TCDM,108,中交簡,152,20190130,1",1
478,"TCDM,108,中交簡,160,20190128,1",1
479,"TCDM,108,中交簡,161,20190131,1",3
480,"TCDM,108,中交簡,165,20190122,1",1
481,"TCDM,108,中交簡,170,20190122,1",2
482,"TCDM,108,中交簡,186,20190124,1",0
483,"TCDM,108,中交簡,20,20190125,1",1
484,"TCDM,108,中交簡,218,20190128,1",1
485,"TCDM,108,中交簡,224,20190130,1",1
486,"TCDM,108,中交簡,225,20190128,1",1
487,"TCDM,108,中交簡,228,20190131,1",1
488,"TCDM,108,中交簡,230,20190129,1",0
489,"TCDM,108,中交簡,233,20190131,1",1
490,"TCDM,108,中交簡,24,20190129,1",1
491,"TCDM,108,中交簡,242,20190130,1",1
492,"TCDM,108,中交簡,252,20190131,1",2
493,"TCDM,108,中交簡,259,20190131,1",0
494,"TCDM,108,中交簡,26,20190128,1",1
495,"TCDM,108,中交簡,265,20190131,1",1
496,"TCDM,108,中交簡,28,20190109,1",1
497,"TCDM,108,中交簡,287,20190131,1",0
498,"TCDM,108,中交簡,297,20190131,1",0
499,"TCDM,108,中交簡,32,20190128,1",1
500,"TCDM,108,中交簡,33,20190108,1",1
501,"TCDM,108,中交簡,35,20190109,1",0
502,"TCDM,108,中交簡,47,20190115,1",0
503,"TCDM,108,中交簡,6,20190128,1",0
504,"TCDM,108,中交簡,64,20190124,1",2
505,"TCDM,108,中交簡,66,20190128,1",1
506,"TCDM,108,中交簡,74,20190118,1",1
507,"TCDM,108,中交簡,75,20190111,1",1
508,"TCDM,108,中交簡,79,20190114,1",1
509,"TCDM,108,中交簡,81,20190115,1",1
510,"TCDM,108,中交簡,83,20190115,1",4
511,"TCDM,108,中交簡,91,20190121,1",2
512,"TCDM,108,中交簡,94,20190118,1",0
513,"TCDM,108,中交簡,96,20190122,1",0
514,"TCDM,108,中交簡,97,20190128,1",0
515,"TCDM,108,交簡,13,20190128,1",3
516,"TCDM,108,交簡,29,20190125,1",2
517,"TCDM,108,交簡,31,20190130,1",5
518,"TNDM,107,交簡,4321,20190107,1",2
519,"TNDM,107,交簡,4418,20190107,1",1
520,"TNDM,107,交簡,4429,20190130,1",1
521,"TNDM,107,交簡,4446,20190107,1",1
522,"TNDM,107,交簡,4451,20190102,1",0
523,"TNDM,107,交簡,4452,20190121,1",2
524,"TNDM,107,交簡,4453,20190103,1",3
525,"TNDM,107,交簡,4475,20190111,1",1
526,"TNDM,107,交簡,4495,20190130,1",2
527,"TNDM,107,交簡,4507,20190102,1",1
528,"TNDM,107,交簡,4515,20190115,1",1
529,"TNDM,108,交簡,100,20190115,1",3
530,"TNDM,108,交簡,104,20190131,1",2
531,"TNDM,108,交簡,105,20190122,1",2
532,"TNDM,108,交簡,109,20190123,1",0
533,"TNDM,108,交簡,112,20190118,1",2
534,"TNDM,108,交簡,113,20190117,1",1
535,"TNDM,108,交簡,114,20190122,1",4
536,"TNDM,108,交簡,115,20190130,1",2
537,"TNDM,108,交簡,116,20190131,1",0
538,"TNDM,108,交簡,117,20190117,1",0
539,"TNDM,108,交簡,122,20190119,1",5
540,"TNDM,108,交簡,132,20190125,1",1
541,"TNDM,108,交簡,133,20190121,1",1
542,"TNDM,108,交簡,135,20190118,1",2
543,"TNDM,108,交簡,14,20190115,1",1
544,"TNDM,108,交簡,145,20190122,1",1
545,"TNDM,108,交簡,151,20190124,1",1
546,"TNDM,108,交簡,167,20190125,1",3
547,"TNDM,108,交簡,184,20190130,1",1
548,"TNDM,108,交簡,186,20190130,1",1
549,"TNDM,108,交簡,194,20190131,1",1
550,"TNDM,108,交簡,212,20190129,1",1
551,"TNDM,108,交簡,223,20190130,1",1
552,"TNDM,108,交簡,239,20190130,1",1
553,"TNDM,108,交簡,251,20190131,1",3
554,"TNDM,108,交簡,29,20190109,1",2
555,"TNDM,108,交簡,38,20190116,1",1
556,"TNDM,108,交簡,47,20190109,1",1
557,"TNDM,108,交簡,55,20190109,1",1
558,"TNDM,108,交簡,56,20190128,1",0
559,"TNDM,108,交簡,71,20190119,1",1
560,"TNDM,108,交簡,75,20190125,1",1
561,"TPDM,107,交簡,2624,20190104,1",1
562,"TPDM,107,交簡,2678,20190103,1",1
563,"TPDM,107,交簡,2689,20190131,1",2
